MIRtoolbox1.6.1,_RMSenergy_Mean,_AttackTime_Mean,_AttackTime_Std,_AttackTime_Slope,_AttackTime_PeriodEntropy,_Duration_Mean,_Duration_Std,_Duration_Slope,_Duration_PeriodEntropy,_Eventdensity_Mean,_Tempo_Mean,_MetricalCentroid_Mean,_MetricalCentroid_Std,_MetricalCentroid_Slope,_MetricalCentroid_PeriodEntropy,_Pulseclarity_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Brightness_Mean,_Rolloff_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Inharmonicity_Mean,_Spectralirregularity_Mean,_Key_Mean,_Mode_Mean,_Tonalcentroid_Mean_1,_Tonalcentroid_Mean_2,_Tonalcentroid_Mean_3,_Tonalcentroid_Mean_4,_Tonalcentroid_Mean_5,_Tonalcentroid_Mean_6
GoodbyeMyLover-JamesBlunt.wav,0.197660,0.042991,0.022915,-0.044220,0.963338,1.225596,0.746886,0.355080,0.943336,3.105906,40.935136,275.906561,69.220894,0.120022,0.948336,0.810270,2291.497022,3366.381102,0.322622,4057.368565,3.488370,-0.731151,-0.536901,0.069101,0.245290,0.309874,-0.212084,0.288069,0.319764,-0.151227,-0.019548,0.252358,-0.226288,0.493808,4.532151,5.000000,0.141278,0.777073,-1.356691,0.024822,0.973871,0.233488,-0.084138
Hurt_short.wav,0.051874,0.048287,0.027060,-0.073264,0.955817,0.588860,0.436463,0.042966,0.957059,1.511189,174.289918,153.137210,29.920209,-0.380289,0.961347,0.792930,2469.700945,3445.478436,0.369589,5677.931356,2.785841,0.571181,0.679303,0.277445,0.399629,-0.144460,-0.319729,-0.289747,0.200090,-0.008408,-0.092915,-0.007236,-0.114722,0.464508,3.843132,3.000000,-0.194299,1.428089,0.536465,-0.708508,0.224648,-0.193676,0.602623
LacrimosaMozartw.wav,0.027441,0.035096,0.017741,0.004693,0.968645,1.952709,1.030398,-0.090356,0.903367,2.039452,184.469073,311.771007,177.390686,-0.187178,0.945334,0.800753,1296.671227,1731.465361,0.256157,2400.762892,3.709961,-0.344112,0.986260,-0.394719,-0.137714,-0.377702,-0.336731,-0.236291,-0.125557,0.074848,0.192763,0.134828,-0.167658,0.596001,3.510920,3.000000,-0.125743,1.102851,0.391401,-0.896978,-0.515299,-0.078829,0.376248
Muse-Sunburn.wav,0.121592,0.049352,0.020247,0.075633,0.962435,0.510775,0.425981,0.139444,0.937024,2.449109,74.631890,291.521232,52.807336,-0.563988,0.962262,0.797770,3015.717847,3750.957357,0.477338,7111.739874,2.039521,0.493073,0.759902,0.560849,0.172738,0.102075,0.087890,-0.041558,-0.084179,-0.023276,0.101860,0.099719,0.051858,0.412982,4.206884,10.000000,-0.189631,1.391203,0.316569,0.062184,1.024525,0.095560,0.333715
NeuesLiebeslied_short.wav,0.100262,0.041817,0.019661,-0.033676,0.961428,0.791579,0.579361,-0.488501,0.938670,1.679762,104.959671,157.634071,60.767265,-0.534838,0.949157,0.809740,3447.150462,4578.734359,0.418557,9298.159075,3.136506,0.376661,0.637536,0.263735,-0.069316,0.167658,0.095196,0.453013,-0.189840,0.287871,0.044451,0.104061,0.012696,0.413473,4.378683,10.000000,-0.129180,1.636686,-0.204227,-0.904673,0.534871,-0.308212,0.193140
NilsFraum-Familiar.wav,0.097776,0.027306,0.018263,0.030424,0.962055,3.637782,1.910521,0.081727,0.946239,2.836412,133.657397,116.057648,29.524182,0.049036,0.966240,0.689400,1675.853687,2584.142475,0.287313,3835.118151,2.799388,0.490804,0.532286,-0.044681,0.160457,-0.042162,0.145184,0.030981,0.223969,0.033475,-0.033637,0.065698,0.117357,0.378450,4.690989,9.000000,0.019804,-1.600357,0.383349,0.084572,0.351888,0.409220,0.457671
OlafurArnalds-A1.wav,0.119312,0.022171,0.016273,0.112214,0.969783,3.867496,4.661469,-0.187336,0.809891,3.059528,102.706344,387.322348,11.486817,-0.208311,0.957371,0.595682,1107.927034,1512.623260,0.254464,2144.004679,3.728585,-0.949387,0.760456,-0.081692,0.072607,-0.123554,-0.002311,-0.090964,0.108269,-0.119789,-0.038688,0.045941,0.162151,0.508935,4.619816,1.000000,0.100139,1.249718,0.649874,0.378946,1.049917,0.083858,0.307117
Radiohead-KarmaPolice.wav,0.266672,0.036855,0.025362,-0.042356,0.955790,1.939170,2.178669,0.290724,0.897093,2.022129,146.028310,125.497730,15.331858,0.391241,0.957015,0.787982,3818.864319,4785.923108,0.485258,9395.310831,2.189481,0.476412,0.287133,0.305944,0.040025,-0.007780,0.109917,0.229800,0.099154,-0.048128,-0.075497,0.113476,0.031770,0.410754,4.556198,10.000000,-0.225853,1.789966,0.048433,-0.243028,0.272855,-0.172342,0.326287
S_Portishead-Roads.wav,0.241159,0.041650,0.026361,-0.225434,0.954017,2.039464,2.795518,0.464335,0.844757,4.529915,73.244919,73.130279,10.669152,0.046804,0.953225,0.678311,3070.319599,3689.423957,0.479688,7377.561378,2.115603,0.252858,0.596934,0.031872,0.061996,0.420016,0.361819,0.223943,-0.163105,-0.296556,-0.423855,-0.276844,-0.102632,0.504846,4.473795,6.000000,0.052828,1.293419,1.385675,-0.627488,1.106640,0.204227,-0.076346
S_Radiohead-PyramidSong.wav,0.105834,0.041654,0.028469,0.091313,0.935628,0.598204,0.164658,-0.646043,0.896869,1.103753,69.104357,87.116337,29.561105,-0.275317,0.917191,0.752751,1093.485141,2189.811688,0.152152,1534.829521,4.546294,-0.101375,0.666650,0.103974,0.219379,0.116005,0.089314,0.022279,-0.016091,-0.074818,-0.096199,-0.116405,-0.026967,0.419207,3.830184,10.000000,-0.029409,1.167322,-0.105879,-0.766585,-0.180577,0.071192,0.425706
S_SigurRos-Untitled1.wav,0.236775,0.022851,0.016206,0.110119,0.954216,2.922570,0.810054,-0.231647,0.873133,1.705757,115.793594,270.453161,84.298640,-0.160774,0.968219,0.792365,729.224641,1366.271469,0.131185,1288.080883,4.717427,-0.550894,1.088111,0.096057,0.369799,-0.052216,0.349672,0.024931,0.079040,0.070222,-0.138662,-0.009044,0.054037,0.329355,4.700177,9.000000,0.170089,-2.527010,1.220930,0.261093,0.310716,0.367767,0.094301
S_TheCure-PicturesOfYou.wav,0.124478,0.033083,0.017161,0.039492,0.960805,6.383819,3.030586,0.856021,0.887730,4.257332,170.682110,294.660003,17.910411,-0.229531,0.946009,0.715148,2069.176160,2273.967956,0.506230,3440.686226,2.130203,-0.775363,1.119847,-0.131805,0.124660,0.371731,0.020975,-0.100004,0.217174,0.157584,-0.028652,0.082235,0.117942,0.438496,4.317565,10.000000,0.039039,1.553270,-0.363398,-0.964166,0.221677,0.159081,0.241448
SufjanStevens-JohnWayneGacyJr.wav,0.103668,0.036898,0.021609,0.076927,0.961322,1.266384,0.743653,-0.074382,0.922380,3.200264,165.122292,212.300885,71.335841,0.029542,0.956628,0.796280,2103.175151,2451.636085,0.436318,4815.551805,2.040062,0.484372,1.122652,0.109622,0.170478,0.205652,-0.007599,0.155938,0.212686,-0.314761,-0.094508,0.220011,0.227041,0.410648,4.240809,9.000000,0.071220,-1.346831,0.401369,0.045121,1.179056,-0.519677,-0.150297
TheCranberries-Zombie.wav,0.153416,0.043772,0.026986,-0.002556,0.960402,1.566491,1.668554,-0.208786,0.922404,2.751654,166.216343,172.490720,27.068623,-0.486945,0.954113,0.772899,3728.760336,4603.466748,0.532969,8995.874119,1.899981,0.131920,0.970287,-0.137203,0.386062,0.312315,0.280558,0.063895,0.191177,0.120975,0.035833,0.099369,-0.144173,0.488799,4.291091,8.000000,0.039670,0.731822,-0.065722,0.965244,0.957987,-0.023382,-0.325866
WhenYouAreGone-Avril.wav,0.359406,0.035764,0.018519,-0.144817,0.957172,5.045224,3.226041,0.827585,0.873578,3.692540,142.233406,115.700945,17.653915,-0.248621,0.960847,0.754387,3781.058781,4159.414049,0.630903,8138.499355,1.530348,-0.389833,0.573174,-0.048780,-0.026251,-0.064266,0.285313,0.100690,0.198984,-0.146179,0.001533,-0.158682,-0.232812,0.482420,4.472497,1.000000,0.223834,2.075547,0.425908,0.877953,0.352008,0.209542,0.427222
