MIRtoolbox1.6.1,_RMSenergy_Mean,_AttackTime_Mean,_AttackTime_Std,_AttackTime_Slope,_AttackTime_PeriodEntropy,_Duration_Mean,_Duration_Std,_Duration_Slope,_Duration_PeriodEntropy,_Eventdensity_Mean,_Tempo_Mean,_MetricalCentroid_Mean,_MetricalCentroid_Std,_MetricalCentroid_Slope,_MetricalCentroid_PeriodEntropy,_Pulseclarity_Mean,_Spectralcentroid_Mean,_Spectralspread_Mean,_Brightness_Mean,_Rolloff_Mean,_MFCC_Mean_1,_MFCC_Mean_2,_MFCC_Mean_3,_MFCC_Mean_4,_MFCC_Mean_5,_MFCC_Mean_6,_MFCC_Mean_7,_MFCC_Mean_8,_MFCC_Mean_9,_MFCC_Mean_10,_MFCC_Mean_11,_MFCC_Mean_12,_MFCC_Mean_13,_Inharmonicity_Mean,_Spectralirregularity_Mean,_Key_Mean,_Mode_Mean,_Tonalcentroid_Mean_1,_Tonalcentroid_Mean_2,_Tonalcentroid_Mean_3,_Tonalcentroid_Mean_4,_Tonalcentroid_Mean_5,_Tonalcentroid_Mean_6
DeafCenter-NewBeginning.wav,0.124574,0.022669,0.011899,-0.047780,0.963684,13.303885,9.417334,0.681274,0.880844,3.232000,122.415209,141.684924,32.941259,-0.075716,0.963858,0.562104,1643.816576,2650.602196,0.312654,3027.286577,3.031594,-0.329303,0.887114,-0.235039,0.321309,0.254184,0.135506,-0.048511,-0.003518,-0.019377,0.280590,0.254889,0.077745,0.435320,4.858590,3.000000,-0.122437,1.918516,0.821086,-0.275278,-0.436016,-0.136280,0.121134
Filippo_Morelli_-_Happy_1.wav,0.225263,0.040513,0.017619,-0.054750,0.962830,1.550033,1.223354,-0.253042,0.873233,3.982930,118.223718,333.341712,71.292175,0.446514,0.947194,0.811997,2597.914691,2821.481541,0.511976,5416.210413,1.896974,-0.210515,0.561885,0.058878,0.279194,-0.061126,-0.008517,-0.132183,0.106061,-0.048920,0.076377,0.085646,0.015019,0.455315,4.459790,8.000000,0.192853,1.374112,0.306013,0.863085,-0.290753,-0.486637,0.066866
Filippo_Morelli_-_Happy_2.wav,0.161212,0.042411,0.023468,-0.023327,0.961036,1.660726,2.147144,0.412455,0.901801,2.605863,133.092815,126.191539,22.265549,-0.235689,0.957970,0.786238,2118.261723,2395.501944,0.452133,4033.522224,2.642668,-0.602621,0.532947,0.073933,0.182728,-0.226407,-0.162062,0.160017,-0.229746,0.020642,0.216411,0.295236,0.148556,0.473624,4.467173,1.000000,0.084017,0.503309,1.295299,-0.138111,1.086091,0.130260,0.295122
Filippo_Morelli_-_Happy_3.wav,0.110719,0.054489,0.023921,0.095180,0.963289,0.746931,0.546031,0.086586,0.929740,3.052603,161.928537,285.084944,25.482825,-0.355405,0.959469,0.806127,2750.159280,3068.867773,0.514603,5871.709156,2.187132,-0.222010,0.752962,-0.024898,0.204951,-0.178014,-0.140980,-0.037134,0.086324,0.118905,-0.195296,0.056592,0.059087,0.494128,3.959453,4.000000,0.182899,-1.453173,1.096236,0.320938,-0.166562,0.336543,0.146737
Filippo_Morelli_-_Happy_4.wav,0.172411,0.040775,0.018749,-0.325719,0.961734,3.864588,3.019308,0.756727,0.894130,4.228330,169.380912,331.341765,7.828039,0.656857,0.949202,0.704164,1033.102491,947.356174,0.258116,2261.108398,26.225759,-20.864973,16.633439,-11.339287,5.909138,-1.203999,-2.244011,4.296613,-4.711546,4.470952,-3.180678,1.434920,0.210574,0.382993,3.319475,12.000000,-0.368147,0.425012,-0.422618,0.449542,-0.776353,-0.477864,-0.235248
H_Avalanches-SinceILeftYou.wav,0.221419,0.046576,0.024026,0.123452,0.949559,1.919670,0.866793,0.203435,0.911155,4.482391,101.521137,273.049203,9.570811,-0.059045,0.942205,0.794481,3796.394435,4044.395843,0.559605,8451.109314,1.886536,-0.086779,-0.005295,0.264529,0.165188,0.110586,0.289716,0.273933,-0.072266,-0.311090,-0.457457,-0.349870,0.121824,0.485535,4.266834,12.000000,-0.093954,1.029321,-0.432192,0.725723,-0.364228,-0.468823,-0.283476
H_Hot8BrassBand-SexualHealing.wav,0.269305,0.041110,0.024576,0.146170,0.942259,1.129687,1.217916,-0.430310,0.833673,3.008299,79.536737,117.594286,33.044603,-0.019482,0.959767,0.809362,3605.562081,3522.094766,0.663507,6896.597099,1.006637,-0.279784,0.518075,0.024418,0.449217,0.038458,-0.026912,-0.104892,0.012354,0.130376,0.168175,0.106993,-0.096247,0.472827,4.100046,4.000000,0.159688,-1.237838,1.249897,1.067293,-0.064505,0.141715,-0.155111
H_ImFromBarcelona-WereFromBarcelona.wav,0.266116,0.029659,0.016253,-0.027069,0.945759,5.951637,1.667742,0.837671,0.908803,5.176768,80.574711,226.904405,8.110349,-0.342602,0.937205,0.783382,2843.144593,3238.493867,0.522491,5929.453468,1.958493,-0.538603,0.127832,0.027890,0.251970,-0.029377,0.069810,0.240703,0.145710,-0.015449,-0.027372,-0.013484,-0.160346,0.474922,4.171521,6.000000,0.228608,0.729361,1.483310,-0.451870,1.068601,0.149623,-0.020351
H_MoldyPeaches-AnyoneElseButYou.wav,0.207599,0.044258,0.029590,-0.115515,0.960629,0.705147,0.394056,0.192586,0.948504,2.764977,146.808565,112.264809,14.870079,0.569636,0.947466,0.801990,2500.303869,3788.149835,0.387164,4933.795166,3.337813,-0.132013,1.040976,0.393732,0.007008,-0.522064,-0.153835,0.113376,-0.264139,-0.258199,-0.332009,0.169376,0.146123,0.452313,4.153860,11.000000,0.040860,0.233465,0.430242,0.768559,-0.665787,0.110472,-0.234783
HowLong-Eagles.wav,0.214165,0.051696,0.017379,0.118123,0.954010,1.877263,2.259188,-0.081517,0.852265,3.115814,139.822342,251.405568,12.108654,0.049964,0.949142,0.792222,3558.229775,4352.508823,0.526366,8555.578995,2.095538,-0.257729,0.469710,-0.007407,-0.009045,0.122071,0.057026,-0.125701,0.107952,0.086593,0.051795,0.046890,0.068588,0.459609,4.478717,1.000000,0.096503,0.587357,1.478368,-0.009248,1.032800,-0.057196,0.156769
Ilkae-SodasTheme.wav,0.120886,0.043853,0.026368,-0.068899,0.965330,0.775005,0.863138,0.046793,0.920141,3.224756,77.511097,301.194056,39.181112,0.119740,0.960051,0.690437,2605.217465,2655.001767,0.508817,5907.247353,1.582035,0.580113,0.399025,0.111449,0.052381,0.051565,0.083686,0.037006,0.038988,-0.112751,-0.024199,-0.000936,-0.001135,0.431768,4.295623,9.000000,0.203254,-1.566761,1.179586,0.756043,1.115953,0.012191,0.091182
