RMSenergyMean,AttackTimeMean,AttackTimeStd,AttackTimeSlope,AttackTimePeriodEntropy,DurationMean,DurationStd,DurationSlope,DurationPeriodEntropy,EventdensityMean,TempoMean,MetricalCentroidMean,MetricalCentroidStd,MetricalCentroidSlope,MetricalCentroidPeriodEntropy,PulseclarityMean,SpectralcentroidMean,SpectralspreadMean,BrightnessMean,RolloffMean,MFCCMean1,MFCCMean2,MFCCMean3,MFCCMean4,MFCCMean5,MFCCMean6,MFCCMean7,MFCCMean8,MFCCMean9,MFCCMean10,MFCCMean11,MFCCMean12,MFCCMean13,InharmonicityMean,SpectralirregularityMean,KeyMean,ModeMean,TonalcentroidMean1,TonalcentroidMean2,TonalcentroidMean3,TonalcentroidMean4,TonalcentroidMean5,TonalcentroidMean6,Class
0.368904,0.034789,0.017806,-0.035539,0.962466,8.116624,6.177499,0.851339,0.812211,4.858757,114.474577,204.033001,75.206238,-0.440587,0.954510,0.705578,3456.110165,3396.067673,0.635423,7009.940815,1.339284,-0.041695,0.554921,0.163456,0.036005,-0.355930,0.160410,0.160223,0.064032,0.244992,0.115615,0.046983,0.029012,0.453675,4.488039,12.000000,-0.162579,1.198007,-0.713110,0.180777,-1.300924,-0.368900,-0.339418,Happy
0.136871,0.042853,0.028794,0.162910,0.960449,0.751854,0.439843,-0.308450,0.955878,4.815303,84.849381,323.365099,24.431097,-0.465948,0.959001,0.747317,3199.553765,4103.916268,0.452147,7988.103390,2.078895,0.427523,0.329451,0.246407,0.173585,0.157538,0.078554,0.036218,0.094942,0.047665,0.114070,-0.001609,0.032075,0.395970,4.404873,8.000000,0.021007,1.718271,0.314038,0.217348,0.454440,-0.528905,0.156962,Happy
0.124574,0.022669,0.011899,-0.047780,0.963684,13.303885,9.417334,0.681274,0.880844,3.232000,122.415209,141.684924,32.941259,-0.075716,0.963858,0.562104,1643.816576,2650.602196,0.312654,3027.286577,3.031594,-0.329303,0.887114,-0.235039,0.321309,0.254184,0.135506,-0.048511,-0.003518,-0.019377,0.280590,0.254889,0.077745,0.435320,4.858590,3.000000,-0.122437,1.918516,0.821086,-0.275278,-0.436016,-0.136280,0.121134,Happy
0.225263,0.040513,0.017619,-0.054750,0.962830,1.550033,1.223354,-0.253042,0.873233,3.982930,118.223718,333.341712,71.292175,0.446514,0.947194,0.811997,2597.914691,2821.481541,0.511976,5416.210413,1.896974,-0.210515,0.561885,0.058878,0.279194,-0.061126,-0.008517,-0.132183,0.106061,-0.048920,0.076377,0.085646,0.015019,0.455315,4.459790,8.000000,0.192853,1.374112,0.306013,0.863085,-0.290753,-0.486637,0.066866,Happy
0.161212,0.042411,0.023468,-0.023327,0.961036,1.660726,2.147144,0.412455,0.901801,2.605863,133.092815,126.191539,22.265549,-0.235689,0.957970,0.786238,2118.261723,2395.501944,0.452133,4033.522224,2.642668,-0.602621,0.532947,0.073933,0.182728,-0.226407,-0.162062,0.160017,-0.229746,0.020642,0.216411,0.295236,0.148556,0.473624,4.467173,1.000000,0.084017,0.503309,1.295299,-0.138111,1.086091,0.130260,0.295122,Happy
0.110719,0.054489,0.023921,0.095180,0.963289,0.746931,0.546031,0.086586,0.929740,3.052603,161.928537,285.084944,25.482825,-0.355405,0.959469,0.806127,2750.159280,3068.867773,0.514603,5871.709156,2.187132,-0.222010,0.752962,-0.024898,0.204951,-0.178014,-0.140980,-0.037134,0.086324,0.118905,-0.195296,0.056592,0.059087,0.494128,3.959453,4.000000,0.182899,-1.453173,1.096236,0.320938,-0.166562,0.336543,0.146737,Happy
0.172411,0.040775,0.018749,-0.325719,0.961734,3.864588,3.019308,0.756727,0.894130,4.228330,169.380912,331.341765,7.828039,0.656857,0.949202,0.704164,1033.102491,947.356174,0.258116,2261.108398,26.225759,-20.864973,16.633439,-11.339287,5.909138,-1.203999,-2.244011,4.296613,-4.711546,4.470952,-3.180678,1.434920,0.210574,0.382993,3.319475,12.000000,-0.368147,0.425012,-0.422618,0.449542,-0.776353,-0.477864,-0.235248,Happy
0.221419,0.046576,0.024026,0.123452,0.949559,1.919670,0.866793,0.203435,0.911155,4.482391,101.521137,273.049203,9.570811,-0.059045,0.942205,0.794481,3796.394435,4044.395843,0.559605,8451.109314,1.886536,-0.086779,-0.005295,0.264529,0.165188,0.110586,0.289716,0.273933,-0.072266,-0.311090,-0.457457,-0.349870,0.121824,0.485535,4.266834,12.000000,-0.093954,1.029321,-0.432192,0.725723,-0.364228,-0.468823,-0.283476,Happy
0.269305,0.041110,0.024576,0.146170,0.942259,1.129687,1.217916,-0.430310,0.833673,3.008299,79.536737,117.594286,33.044603,-0.019482,0.959767,0.809362,3605.562081,3522.094766,0.663507,6896.597099,1.006637,-0.279784,0.518075,0.024418,0.449217,0.038458,-0.026912,-0.104892,0.012354,0.130376,0.168175,0.106993,-0.096247,0.472827,4.100046,4.000000,0.159688,-1.237838,1.249897,1.067293,-0.064505,0.141715,-0.155111,Happy
0.266116,0.029659,0.016253,-0.027069,0.945759,5.951637,1.667742,0.837671,0.908803,5.176768,80.574711,226.904405,8.110349,-0.342602,0.937205,0.783382,2843.144593,3238.493867,0.522491,5929.453468,1.958493,-0.538603,0.127832,0.027890,0.251970,-0.029377,0.069810,0.240703,0.145710,-0.015449,-0.027372,-0.013484,-0.160346,0.474922,4.171521,6.000000,0.228608,0.729361,1.483310,-0.451870,1.068601,0.149623,-0.020351,Happy
0.207599,0.044258,0.029590,-0.115515,0.960629,0.705147,0.394056,0.192586,0.948504,2.764977,146.808565,112.264809,14.870079,0.569636,0.947466,0.801990,2500.303869,3788.149835,0.387164,4933.795166,3.337813,-0.132013,1.040976,0.393732,0.007008,-0.522064,-0.153835,0.113376,-0.264139,-0.258199,-0.332009,0.169376,0.146123,0.452313,4.153860,11.000000,0.040860,0.233465,0.430242,0.768559,-0.665787,0.110472,-0.234783,Happy
0.214165,0.051696,0.017379,0.118123,0.954010,1.877263,2.259188,-0.081517,0.852265,3.115814,139.822342,251.405568,12.108654,0.049964,0.949142,0.792222,3558.229775,4352.508823,0.526366,8555.578995,2.095538,-0.257729,0.469710,-0.007407,-0.009045,0.122071,0.057026,-0.125701,0.107952,0.086593,0.051795,0.046890,0.068588,0.459609,4.478717,1.000000,0.096503,0.587357,1.478368,-0.009248,1.032800,-0.057196,0.156769,Happy
0.120886,0.043853,0.026368,-0.068899,0.965330,0.775005,0.863138,0.046793,0.920141,3.224756,77.511097,301.194056,39.181112,0.119740,0.960051,0.690437,2605.217465,2655.001767,0.508817,5907.247353,1.582035,0.580113,0.399025,0.111449,0.052381,0.051565,0.083686,0.037006,0.038988,-0.112751,-0.024199,-0.000936,-0.001135,0.431768,4.295623,9.000000,0.203254,-1.566761,1.179586,0.756043,1.115953,0.012191,0.091182,Happy
0.065504,0.047335,0.019655,-0.014878,0.964793,0.607317,0.522742,-0.123283,0.941755,3.008461,123.021329,195.464313,21.951359,-0.353277,0.958630,0.791202,3294.645665,3798.463325,0.523239,7862.752390,2.292118,-0.393812,0.234182,0.028704,-0.271884,-0.182927,0.030541,0.307162,0.132505,0.299239,0.085597,0.161882,-0.000965,0.510423,3.683340,2.000000,-0.077779,0.540285,-1.400277,-0.392622,1.286636,0.327670,-0.520797,Happy
0.299435,0.043743,0.018397,-0.081699,0.965284,1.611175,1.554419,0.464691,0.894818,4.246072,113.767632,326.534330,9.289117,0.352729,0.958610,0.769569,4652.795185,5152.463094,0.618563,10838.498068,1.678469,-0.855139,0.221505,0.253437,0.142192,0.022457,-0.053084,0.215445,-0.013025,0.223957,0.002583,0.157519,0.057077,0.448103,4.739214,12.000000,-0.132697,0.333531,-1.531077,0.197482,-0.234353,-0.067810,-0.175158,Happy
0.214640,0.043693,0.018048,-0.025438,0.963323,1.249627,1.083013,-0.264969,0.918799,4.613842,113.773648,337.965460,81.958891,-0.729810,0.947491,0.772847,3245.052423,4056.834173,0.501783,7621.597338,2.357328,-0.383055,0.391285,0.000268,-0.015205,0.055681,0.072064,0.120586,-0.103791,0.052345,-0.042705,0.287334,0.032918,0.464724,4.328129,5.000000,0.240717,0.503481,-1.687948,0.287602,0.945617,-0.161615,-0.069876,Happy
0.282462,0.043286,0.016858,0.040594,0.954019,0.937506,0.996732,-0.187615,0.884294,3.859060,124.456530,229.160127,29.946751,0.568678,0.951352,0.465159,3597.268658,3522.690584,0.637494,7438.586140,1.067821,-0.142927,0.473699,0.068379,0.640371,-0.044496,-0.127158,-0.070417,-0.090441,0.078067,0.328771,0.044410,0.033924,0.457556,4.581770,12.000000,-0.127718,0.485582,-0.949561,0.742957,-0.273239,-0.352635,-0.105043,Happy
0.099689,0.057339,0.016890,0.003741,0.964397,0.313735,0.247581,-0.156558,0.940636,2.942160,135.963675,267.246431,6.296420,0.158222,0.960142,0.757143,3642.534371,3764.371294,0.591247,8443.665218,1.701795,-0.309244,0.360785,0.103510,0.191912,-0.029455,0.233910,-0.015163,0.030816,0.005515,0.069691,0.125388,-0.007530,0.458515,4.180616,3.000000,-0.023891,1.010181,0.385761,-0.195843,-0.917910,-0.267443,-0.062970,Happy
0.220215,0.042744,0.022743,-0.235047,0.962798,6.220394,5.889742,0.612061,0.862898,2.781211,87.497690,205.051841,64.039753,-0.587222,0.953097,0.762147,4051.376702,4338.566928,0.614561,8789.016581,1.295070,0.103658,0.561049,0.093400,-0.014089,-0.000155,-0.283719,0.054770,0.093037,0.151076,0.085509,0.294965,0.156042,0.478872,4.547336,10.000000,-0.001660,0.960374,1.068227,-0.016299,0.862569,-0.023424,0.459343,Happy
0.048928,0.046018,0.024357,0.132832,0.965557,1.895393,1.572164,0.154474,0.840066,2.641257,168.550245,160.488287,36.692299,0.207814,0.960770,0.748862,2381.957075,2624.505126,0.481175,4427.155066,2.300729,-0.521464,0.237235,-0.441505,-0.149768,-0.188670,0.249956,0.176058,-0.116234,-0.296858,-0.178133,-0.303308,-0.158130,0.469801,4.213603,5.000000,0.018568,0.593463,-1.533476,1.040200,0.122127,-0.366181,-0.070357,Happy
0.106071,0.047907,0.019238,0.008121,0.960711,0.527988,0.521163,0.033843,0.913780,4.199311,74.797400,211.649683,33.178999,-0.290243,0.959857,0.767957,3107.714301,3176.996312,0.610176,6078.335381,1.294316,-0.178182,0.794615,-0.026077,0.235526,-0.019247,0.206063,0.127499,0.103309,0.070180,0.052589,0.086061,0.108765,0.449028,3.720746,5.000000,0.092950,0.081842,-1.155010,0.577131,0.786201,-0.082007,-0.030537,Happy
0.318215,0.049713,0.023017,0.035243,0.967522,3.463631,3.605948,-0.081074,0.885344,3.434981,134.449063,213.321297,35.022176,0.077478,0.963187,0.767127,3430.074951,4073.716164,0.549114,7657.408905,1.920813,-0.334006,0.336543,0.101758,0.058909,0.052145,0.193855,0.052378,0.121538,0.136784,0.079704,0.126949,0.081815,0.491048,4.709067,1.000000,0.083503,0.818545,1.322926,0.084559,0.789689,-0.058522,0.297108,Happy
0.242943,0.048683,0.019573,0.134427,0.959148,0.517989,0.477662,0.140268,0.900371,3.293522,175.940717,299.214084,18.407854,0.106785,0.956146,0.834580,4177.837506,4910.076487,0.555832,10095.707703,1.819322,-0.271884,0.148428,0.103672,0.198209,0.106022,-0.049072,0.364064,0.065639,0.134424,0.215608,0.211325,-0.149930,0.441957,4.540812,3.000000,0.151712,1.281901,0.168047,-0.146280,-0.628371,-0.109017,0.024137,Happy
0.281549,0.040050,0.020395,-0.130594,0.956408,2.104853,1.338097,-0.026849,0.952323,3.710046,120.417749,213.085376,23.076031,0.638483,0.953343,0.780573,3185.469041,3920.450054,0.471436,7729.915237,2.099014,-0.379330,-0.130135,-0.029271,0.595669,0.369535,-0.145071,0.383190,0.305106,0.145389,-0.177067,0.285930,0.177515,0.399383,4.369474,10.000000,-0.105734,1.419072,-0.139057,0.337939,0.646101,-0.312214,0.289095,Happy
0.158133,0.040888,0.021598,0.055705,0.973761,3.179294,3.228266,0.428357,0.813933,2.074689,113.480627,169.735275,52.713132,-0.405762,0.963277,0.744494,1691.007018,1942.665321,0.342835,3269.219685,3.035976,-0.218621,0.100262,0.239651,-0.019081,0.036684,-0.267080,0.083433,0.022373,-0.111457,-0.004723,0.070933,0.243548,0.548214,4.357384,10.000000,-0.226387,2.020946,-0.306398,-0.108415,0.771614,0.123443,-0.118402,Sad
0.216259,0.043968,0.021637,0.107031,0.967239,0.728196,0.889490,-0.058039,0.897835,2.760736,104.419011,202.953796,33.486840,-0.187425,0.952797,0.779425,3611.394846,3888.103483,0.534951,8083.215380,1.935897,0.547061,0.064129,0.117604,-0.132371,-0.144857,-0.052466,-0.048483,0.020208,-0.025743,-0.007848,-0.047977,0.082424,0.460902,4.373537,1.000000,-0.064817,-0.122598,0.843624,0.683759,2.010229,-0.065248,0.227941,Sad
0.390672,0.031815,0.020390,-0.031229,0.967441,2.394500,2.426298,0.148385,0.920710,3.510791,112.222845,240.813506,32.281424,-0.619666,0.958532,0.715100,2704.648110,3125.857393,0.496764,5746.231985,1.599762,-0.064512,0.072237,0.061376,0.181200,0.137915,0.098092,-0.071276,0.125735,-0.004187,0.100635,0.056739,0.113676,0.448307,5.016534,2.000000,-0.096351,-0.207743,-0.888502,-0.328871,0.558900,-0.013982,-0.178838,Sad
0.126174,0.061142,0.023720,-0.016703,0.953316,0.228174,0.093958,0.065463,0.948713,1.576133,121.932273,92.056978,20.691934,-0.266669,0.968491,0.765524,4039.556543,4569.289034,0.575568,8779.007006,2.004483,-0.279021,-0.219856,0.208029,-0.141131,-0.191874,0.204853,-0.224612,0.072957,0.257286,0.190769,-0.002122,-0.135298,0.485706,4.594288,7.000000,0.056453,-0.203811,-0.494908,0.252011,-0.799555,0.222319,0.209360,Sad
0.046973,0.032998,0.017100,0.058372,0.967811,2.964112,2.204553,-0.399578,0.912541,0.726392,123.945915,230.856945,93.794060,-0.069659,0.963848,0.777400,1944.073270,2247.057217,0.448124,3576.803827,2.490116,-0.565288,0.713878,-0.235745,0.027676,-0.131009,0.143908,0.009253,-0.431450,-0.412108,-0.178884,-0.004291,0.072558,0.448153,3.830742,1.000000,-0.139433,-0.305317,1.170383,1.003509,0.835950,-0.453762,0.509382,Sad
0.036691,0.033626,0.019266,-0.150540,0.966834,8.134643,4.995336,0.799640,0.892115,1.738549,102.621610,146.373855,36.941594,-0.519923,0.964870,0.769262,1792.076467,1816.055119,0.439304,3582.586670,2.445220,-0.350887,1.069548,-0.301633,0.366648,-0.111524,0.060274,-0.117010,-0.109571,-0.040950,0.005697,0.269717,0.232493,0.518074,3.759780,7.000000,0.019264,-1.281568,0.340153,-0.633261,-0.955749,0.138639,0.390100,Sad
0.233315,0.036649,0.020738,-0.038843,0.960424,4.782887,4.440956,-0.244966,0.857831,3.255260,139.258527,158.157750,28.602217,-0.017346,0.959838,0.740054,3040.952896,3460.071592,0.540248,6257.161903,1.780450,-0.786743,0.063347,0.258572,0.386705,0.048899,0.072690,-0.079155,-0.021458,-0.024941,-0.063345,-0.075210,0.024700,0.488416,4.579968,5.000000,0.037281,0.331940,-1.898642,0.596406,0.144842,-0.187361,-0.293228,Sad
0.247164,0.033890,0.022334,-0.055056,0.967368,2.071531,1.508286,0.188000,0.942974,3.380589,100.147287,191.356380,10.772457,0.122461,0.958048,0.778142,3028.795169,4324.443436,0.403664,7972.353029,2.286716,0.868799,0.801682,0.173380,0.472205,-0.062395,0.060057,0.028338,-0.127715,0.117419,-0.113626,0.100276,0.082830,0.368995,4.613423,2.000000,0.085829,-1.154298,-0.610947,-0.387581,0.922675,-0.387784,-0.358132,Sad
0.104917,0.048596,0.019162,-0.228888,0.964791,0.524360,0.318204,0.368638,0.938188,3.450901,74.709849,174.642308,117.707407,-0.710842,0.947301,0.778199,1159.224839,1748.682995,0.211795,2199.751282,3.543931,0.334621,0.676173,-0.160916,-0.034935,-0.095774,0.366779,0.217635,0.205841,0.110600,0.203902,0.115753,-0.025991,0.511721,4.317898,1.000000,-0.128041,-0.546023,0.840270,0.279652,0.496967,0.062647,0.165645,Sad
0.244870,0.033412,0.018495,0.039821,0.962785,12.786236,6.479443,0.793442,0.894580,4.749340,82.933878,112.576419,17.822063,-0.274504,0.954238,0.751210,3011.353122,3057.226257,0.595437,6057.832575,1.470288,-0.747563,0.195511,-0.077726,0.242220,0.145427,-0.109622,0.196710,-0.081438,0.095818,0.028815,0.006206,0.085169,0.491704,4.206472,9.000000,-0.335515,-0.841856,-0.676319,0.869794,0.709295,-0.181039,-0.242990,Sad
0.063291,0.053397,0.032971,0.337123,0.966097,1.558609,1.185964,-0.085422,0.892208,2.046980,71.260149,200.851431,56.810549,-0.141251,0.967211,0.802949,1143.786641,1650.760397,0.169664,2206.080866,4.545023,0.084973,0.888087,-1.714575,-0.002848,0.813476,-0.204411,-0.277804,-0.527346,-0.027257,-0.191821,-0.005269,-0.024961,0.577483,3.912953,11.000000,-0.205809,-1.278111,0.117298,-0.645533,-0.929007,0.519347,-0.408787,Sad
0.197660,0.042991,0.022915,-0.044220,0.963338,1.225596,0.746886,0.355080,0.943336,3.105906,40.935136,275.906561,69.220894,0.120022,0.948336,0.810270,2291.497022,3366.381102,0.322622,4057.368565,3.488370,-0.731151,-0.536901,0.069101,0.245290,0.309874,-0.212084,0.288069,0.319764,-0.151227,-0.019548,0.252358,-0.226288,0.493808,4.532151,5.000000,0.141278,0.777073,-1.356691,0.024822,0.973871,0.233488,-0.084138,Sad
0.051874,0.048287,0.027060,-0.073264,0.955817,0.588860,0.436463,0.042966,0.957059,1.511189,174.289918,153.137210,29.920209,-0.380289,0.961347,0.792930,2469.700945,3445.478436,0.369589,5677.931356,2.785841,0.571181,0.679303,0.277445,0.399629,-0.144460,-0.319729,-0.289747,0.200090,-0.008408,-0.092915,-0.007236,-0.114722,0.464508,3.843132,3.000000,-0.194299,1.428089,0.536465,-0.708508,0.224648,-0.193676,0.602623,Sad
0.027441,0.035096,0.017741,0.004693,0.968645,1.952709,1.030398,-0.090356,0.903367,2.039452,184.469073,311.771007,177.390686,-0.187178,0.945334,0.800753,1296.671227,1731.465361,0.256157,2400.762892,3.709961,-0.344112,0.986260,-0.394719,-0.137714,-0.377702,-0.336731,-0.236291,-0.125557,0.074848,0.192763,0.134828,-0.167658,0.596001,3.510920,3.000000,-0.125743,1.102851,0.391401,-0.896978,-0.515299,-0.078829,0.376248,Sad
0.121592,0.049352,0.020247,0.075633,0.962435,0.510775,0.425981,0.139444,0.937024,2.449109,74.631890,291.521232,52.807336,-0.563988,0.962262,0.797770,3015.717847,3750.957357,0.477338,7111.739874,2.039521,0.493073,0.759902,0.560849,0.172738,0.102075,0.087890,-0.041558,-0.084179,-0.023276,0.101860,0.099719,0.051858,0.412982,4.206884,10.000000,-0.189631,1.391203,0.316569,0.062184,1.024525,0.095560,0.333715,Sad
0.100262,0.041817,0.019661,-0.033676,0.961428,0.791579,0.579361,-0.488501,0.938670,1.679762,104.959671,157.634071,60.767265,-0.534838,0.949157,0.809740,3447.150462,4578.734359,0.418557,9298.159075,3.136506,0.376661,0.637536,0.263735,-0.069316,0.167658,0.095196,0.453013,-0.189840,0.287871,0.044451,0.104061,0.012696,0.413473,4.378683,10.000000,-0.129180,1.636686,-0.204227,-0.904673,0.534871,-0.308212,0.193140,Sad
0.097776,0.027306,0.018263,0.030424,0.962055,3.637782,1.910521,0.081727,0.946239,2.836412,133.657397,116.057648,29.524182,0.049036,0.966240,0.689400,1675.853687,2584.142475,0.287313,3835.118151,2.799388,0.490804,0.532286,-0.044681,0.160457,-0.042162,0.145184,0.030981,0.223969,0.033475,-0.033637,0.065698,0.117357,0.378450,4.690989,9.000000,0.019804,-1.600357,0.383349,0.084572,0.351888,0.409220,0.457671,Sad
0.119312,0.022171,0.016273,0.112214,0.969783,3.867496,4.661469,-0.187336,0.809891,3.059528,102.706344,387.322348,11.486817,-0.208311,0.957371,0.595682,1107.927034,1512.623260,0.254464,2144.004679,3.728585,-0.949387,0.760456,-0.081692,0.072607,-0.123554,-0.002311,-0.090964,0.108269,-0.119789,-0.038688,0.045941,0.162151,0.508935,4.619816,1.000000,0.100139,1.249718,0.649874,0.378946,1.049917,0.083858,0.307117,Sad
0.266672,0.036855,0.025362,-0.042356,0.955790,1.939170,2.178669,0.290724,0.897093,2.022129,146.028310,125.497730,15.331858,0.391241,0.957015,0.787982,3818.864319,4785.923108,0.485258,9395.310831,2.189481,0.476412,0.287133,0.305944,0.040025,-0.007780,0.109917,0.229800,0.099154,-0.048128,-0.075497,0.113476,0.031770,0.410754,4.556198,10.000000,-0.225853,1.789966,0.048433,-0.243028,0.272855,-0.172342,0.326287,Sad
0.241159,0.041650,0.026361,-0.225434,0.954017,2.039464,2.795518,0.464335,0.844757,4.529915,73.244919,73.130279,10.669152,0.046804,0.953225,0.678311,3070.319599,3689.423957,0.479688,7377.561378,2.115603,0.252858,0.596934,0.031872,0.061996,0.420016,0.361819,0.223943,-0.163105,-0.296556,-0.423855,-0.276844,-0.102632,0.504846,4.473795,6.000000,0.052828,1.293419,1.385675,-0.627488,1.106640,0.204227,-0.076346,Sad
0.105834,0.041654,0.028469,0.091313,0.935628,0.598204,0.164658,-0.646043,0.896869,1.103753,69.104357,87.116337,29.561105,-0.275317,0.917191,0.752751,1093.485141,2189.811688,0.152152,1534.829521,4.546294,-0.101375,0.666650,0.103974,0.219379,0.116005,0.089314,0.022279,-0.016091,-0.074818,-0.096199,-0.116405,-0.026967,0.419207,3.830184,10.000000,-0.029409,1.167322,-0.105879,-0.766585,-0.180577,0.071192,0.425706,Sad
0.236775,0.022851,0.016206,0.110119,0.954216,2.922570,0.810054,-0.231647,0.873133,1.705757,115.793594,270.453161,84.298640,-0.160774,0.968219,0.792365,729.224641,1366.271469,0.131185,1288.080883,4.717427,-0.550894,1.088111,0.096057,0.369799,-0.052216,0.349672,0.024931,0.079040,0.070222,-0.138662,-0.009044,0.054037,0.329355,4.700177,9.000000,0.170089,-2.527010,1.220930,0.261093,0.310716,0.367767,0.094301,Sad
0.124478,0.033083,0.017161,0.039492,0.960805,6.383819,3.030586,0.856021,0.887730,4.257332,170.682110,294.660003,17.910411,-0.229531,0.946009,0.715148,2069.176160,2273.967956,0.506230,3440.686226,2.130203,-0.775363,1.119847,-0.131805,0.124660,0.371731,0.020975,-0.100004,0.217174,0.157584,-0.028652,0.082235,0.117942,0.438496,4.317565,10.000000,0.039039,1.553270,-0.363398,-0.964166,0.221677,0.159081,0.241448,Sad
